Payload,Orbit,Customer,Flight_No.,Date,Time,Version_Booster,Launch_site,Payload_mass,Launch_outcome,Booster_landing,Class
,SSO,SpaceX,156,25 May 2022,18:35,F9 B5B1061.8,CCSFS,U,"Success
",Success,1
Nilesat-301,GTO,Various,157,8 June 2022,21:03,F9 B5B1062.7,CCSFS,"~4,100 kg","Success
",Success,1
Starlink Group 4-19,LEO,SpaceX,158,17 June 2022,16:09,F9 B5B1060.13,KSC,"~16,250 kg","Success
",Success,1
SARah 1,SSO,SpaceX,159,18 June 2022,14:19,F9 B5,VSFB,"~4,000 kg",Success,Success,1
Globalstar-2 M087 (FM15),LEO,SpaceX,160,19 June 2022,04:27,F9 B5B1061.9,CCSFS,~700 kg,"Success
",Success,1
SES-22,GTO,SpaceX,161,29 June 2022,21:04,F9 B5B1073.2,CCSFS,"~3,500 kg","Success
",Success,1
Starlink Group 4-21,LEO,SpaceX,162,7 July 2022,13:11,F9 B5B1058.13,CCSFS,"~16,250 kg","Success
",Success,1
Starlink Group 3-1,SSO,SpaceX,163,11 July 2022,01:39,F9 B5,VSFB,"~14,100 kg","Success
",Success,1
SpaceX CRS-25,LEO,NASA,164,15 July 2022,00:44:22,F9 B5,KSC,"2,668 kg","Success
",Success,1
Starlink Group 4-22,LEO,SpaceX,165,17 July 2022,14:20,F9 B5B1051.13,CCSFS,"~16,250 kg","Success
",Success,1
Starlink Group 3-2,SSO,SpaceX,166,22 July 2022,17:39,F9 B5,VSFB,"~14,100 kg","Success
",Success,1
Starlink Group 4-25,LEO,SpaceX,167,24 July 2022,13:38,F9 B5,KSC,"~16,250 kg","Success
",Success,1
Danuri (Korea Pathfinder Lunar Orbiter),Ballistic lunar transfer (BLT),SpaceX,168,4 August 2022,23:08,F9 B5,CCSFS,~679 kg,"Success
",Success,1
Starlink Group 4-26,LEO,SpaceX,169,10 August 2022,02:14,F9 B5B1073.3,KSC,"~16,000 kg","Success
",Success,1
Starlink Group 3-3,SSO,SpaceX,170,12 August 2022,21:40:20,F9 B5,VSFB,"~14,100 kg","Success
",Success,1
Starlink Group 4-27,LEO,SpaceX,171,19 August 2022,19:21:20,F9 B5,CCSFS,"~16,250 kg","Success
",Success,1
Starlink Group 4-23,LEO,SpaceX,172,28 August 2022,03:41,F9 B5B1069.2,CCSFS,"~16,700 kg","Success
",Success,1
Starlink Group 3-4,SSO,SpaceX,173,31 August 2022,05:40,F9 B5,VSFB,"~14,200 kg","Success
",Success,1
Starlink Group 4-20,LEO,SpaceX,174,5 September 2022,02:09,F9 B5,CCSFS,"~16,000 kg","Success
",Success,1
Starlink Group 4-2,LEO,SpaceX,175,11 September 2022,01:20,F9 B5,KSC,"~11,938 kg","Success
",Success,1
Starlink Group 4-34,LEO,SpaceX,176,19 September 2022,00:18,F9 B5B1067.6,CCSFS,"~16,700 kg","Success
",Success,1
Starlink Group 4-35,LEO,SpaceX,177,24 September 2022,23:32,F9 B5B1073.4,CCSFS,"~16,100 kg","Success
",Success,1
Crew-5,LEO,NASA,178,5 October 2022,16:00,F9 B5,KSC,"~13,000 kg","Success
",Success,1
Starlink Group 4-29,LEO,SpaceX,179,5 October 2022,23:10,F9 B5,VSFB,"~16,100 kg","Success
",Success,1
Galaxy 33 and Galaxy 34,GTO,SpaceX,180,8 October 2022,23:05,F9 B5B1060.14,CCSFS,"7,350 kg","Success
",Success,1
Hotbird 13F,GTO,Various,181,15 October 2022,05:22,F9 B5,CCSFS,"~4,500 kg","Success
",Success,1
Starlink Group 4-36,LEO,SpaceX,182,20 October 2022,14:50,F9 B5B1062.10,CCSFS,"~16,700 kg","Success
",Success,1
Starlink Group 4-31,LEO,SpaceX,183,28 October 2022,01:14:10,F9 B5,VSFB,"~16,400 kg","Success
",Success,1
Hotbird 13G,GTO,SpaceX,184,3 November 2022,05:22,F9 B5,CCSFS,"~4,500 kg","Success
",Success,1
Galaxy 31 and Galaxy 32,GTO,SpaceX,185,12 November 2022,16:06,F9 B5,CCSFS,"~6,600 kg","Success
","No attempt
",0
Eutelsat 10B,GTO,SpaceX,186,23 November 2022,02:57,F9 B5B1049.11,CCSFS,"5,500 kg","Success
","No attempt
",0
SpaceX CRS-26,LEO,NASA,187,26 November 2022,19:20,F9 B5,KSC,"3,528 kg","Success
",Success,1
OneWeb,Polar,SpaceX,188,8 December 2022,22:27,F9 B5,KSC,"6,000 kg","Success
",Success,1
Hakuto-R Mission 1,Ballistic lunar transfer (BLT),Various,189,11 December 2022,07:38,F9 B5 ,CCSFS,"~1,000 kg","Success
",Success,1
Surface Water and Ocean Topography,LEO,NASA,190,16 December 2022,11:46,F9 B5,VSFB,"~2,200 kg","Success
",Success,1
O3b mPOWER,MEO,SpaceX,191,16 December 2022,22:48,F9 B5,CCSFS,"~4,100 kg","Success
",Success,1
Starlink Group 4-37,LEO,SpaceX,192,17 December 2022,21:32,F9 B5,KSC,"~16,700 kg","Success
",Success,1
Starlink Group 5-1,LEO,SpaceX,193,28 December 2022,09:34,F9 B5,CCSFS,"~16,700 kg","Success
",Success,1
EROS-C3,Retrograde,SpaceX,194,30 December 2022,07:38,F9 B5,VSFB,~400 kg,"Success
",Success,1
,SSO,SpaceX,195,3 January 2023,14:56,F9 B5B1060.15,CCSFS,U,"Success
",Success,1
OneWeb,Polar,SpaceX,196,10 January 2023,04:50,F9 B5,CCSFS,"6,000 kg","Success
",Success,1
USA-343,MEO,SpaceX,197,18 January 2023,12:24,F9 B5,CCSFS,"4,352 kg","Success
",Success,1
Starlink Group 2-4,LEO,SpaceX,198,19 January 2023,15:43,F9 B5,VSFB,"15,000 kg","Success
",Success,1
Starlink Group 5-2,LEO,SpaceX,199,26 January 2023,09:32,F9 B5,CCSFS,"~17,400 kg","Success
",Success,1
Starlink Group 2-6,LEO,SpaceX,200,31 January 2023,16:15,F9 B5B1071.7,VSFB,"~15,200 kg","Success
",Success,1
Starlink Group 5-3,LEO,SpaceX,201,2 February 2023,07:58,F9 B5,KSC,"16,500 kg","Success
",Success,1
Amazonas Nexus,GTO,SpaceX,202,7 February 2023,01:32,F9 B5B1073.6,CCSFS,"4,146 kg","Success
",Success,1
Starlink Group 5-4,LEO,SpaceX,203,12 February 2023,05:10,F9 B5B1062.12,CCSFS,"17,100 kg","Success
",Success,1
Starlink Group 2-5,LEO,SpaceX,204,17 February 2023,19:12,F9 B5B1063.9,VSFB,"15,900 kg","Success
",Success,1
Inmarsat-6 F2,GTO,SpaceX,205,18 February 2023,03:59,F9 B5B1077.3,CCSFS,"5,470 kg","Success
",Success,1
Starlink Group 6-1,LEO,SpaceX,206,27 February 2023,23:13,F9 B5B1076.3,CCSFS,"~16,900 kg","Success
",Success,1
